Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,Method,File,Status,Success Level,Currency,Unit,Language,company,year,total_assets,total_liabilities,revenue,net_profit,success_level,method,file
Acorns,2017.0,203556853.0,25547.0,13859930.0,13880855.0,regex+table,Acorns_2017_18_Annual.pdf,Success,Complete,,,,,,,,,,,,
Acorns,2018.0,354038314.0,66066.0,27181059.0,26400133.0,regex+table,Acorns_2018_19_Annual.pdf,Success,Complete,,,,,,,,,,,,
Acorns,2020.0,811815120.0,184536.0,120721521.0,118730064.0,regex+table,Acorns_2020_21_Annual.pdf,Success,Complete,,,,,,,,,,,,
Acorns,2019.0,464180375.0,113807.0,2315071.0,982679.0,regex+table,Acorns_2019_20_Annual.pdf,Success,Complete,,,,,,,,,,,,
Acorns,2022.0,981886940.0,296819.0,36234783.0,,regex+table,Acorns_2022_23_Q1_Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Acorns,2021.0,894430361.0,221571.0,,,regex+table,Acorns_2021_22_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Acorns,2022.0,1151041210.0,359473.0,109532376.0,,regex+table,Acorns_2022_23_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Acorns,2024.0,1634266937.0,394647.0,108823581.0,106450166.0,regex+table,Acorns_2024_25_Q1_Q2.pdf,Success,Complete,,,,,,,,,,,,
Acorns,2023.0,1417127147.0,425126.0,158666832.0,154479446.0,regex+table,Acorns_2023_24_Annual.pdf,Success,Complete,,,,,,,,,,,,
Acorns,2021.0,977367928.0,226692.0,17974107.0,,regex+table,Acorns_2021_22_Q1_Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Afterpay,2015.0,894772.0,,,-179817.0,regex+table,Afterpay_2015_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Afterpay,2016.0,1211362.0,,686618.0,-171590.0,regex+table,Afterpay_2016_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Afterpay,2018.0,3281023.0,,,-38453.0,regex+table,Afterpay_2018_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Afterpay,2017.0,2187270.0,,983963.0,-62813.0,regex+table,Afterpay_2017_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Afterpay,2019.0,4551258.0,,,,regex+table,Afterpay_2019_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
Azlo,2013.0,1.31,,3955.0,1004.0,regex,Azlo_2013_Q1.pdf,Success,Partial(3/4),,,,,,,,,,,,
CIMB,2015.0,,,,234557542.0,regex,CIMB_2015_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
Card,2024.0,290558608.0,281830486.0,1205193.0,,regex,Card_by_Coinbase_2024_Q3.pdf,Success,Partial(3/4),,,,,,,,,,,,
Creditas,2024.0,5906337.0,5559535.0,474932.0,-1154191.0,regex,Creditas_2024_Q2.pdf,Success,Complete,,,,,,,,,,,,
Digio,2020.0,2.807,2.807,,,regex,Digio_2020_Q3、Q4.pdf,Success,Partial(2/4),,,,,,,,,,,,
