Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,Success Level,File
digibank,2021,84068288000000.0,74541503000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2021_Q1、Q2、Q3.pdf
digibank,2022,99281571000000.0,88781168000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2022_Annual.pdf
digibank,2022,89841955000000.0,80046370000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2022_Q1.pdf
digibank,2022,95762445000000.0,85587998000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2022_Q1、Q2.pdf
digibank,2022,99225474000000.0,88953099000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2022_Q1、Q2、Q3.pdf
digibank,2023,112971991000000.0,100790732000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2023_Annual.pdf
digibank,2023,101475777000000.0,90348284000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2023_Q1.pdf
digibank,2023,111379146000000.0,99435591000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2023_Q1、Q2、Q3.pdf
digibank,2023,105273539000000.0,93854541000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2023_Q1、Q2.pdf
digibank,2024,119603042000000.0,106965740000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2024_Q1.pdf
digibank,2024,131553399000000.0,118549575000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2024_Q1、Q2.pdf
digibank,2024,1000000.0,1000000.0,,,Partial(2/4),digibank_（DBS_Bank）_2024_Q1、Q2、Q3.pdf
weLab,2018,,,,-493146.0,Partial(1/4),weLab_Bank_2018_Annual.pdf
weLab,2020,776078.0,259192.0,,,Partial(2/4),weLab_Bank_2020_Q1_Q2.pdf
weLab,2021,2723303.0,2188491.0,,-226728.0,Partial(3/4),weLab_Bank_2021_Q1_Q2.pdf
weLab,2022,2667193.0,2138869.0,,-224016.0,Partial(3/4),weLab_Bank_2022_Q1_Q2.pdf
weLab,2023,3054770.0,2565157.0,,-161544.0,Partial(3/4),weLab_Bank_2023_Q1_Q2.pdf
weLab,2023,,,,-315632.0,Partial(1/4),weLab_Bank_2023_Annual.pdf
weLab,2024,8689647.0,7582575.0,,-125074.0,Partial(3/4),weLab_Bank_2024_Q1_Q2.pdf
weLab,2022,,,,-458309.0,Partial(1/4),weLab_Bank_2022_Annual.pdf
Acorns,2023,1233946951.0,381074.0,50974450.0,48993546.0,Complete,Acorns_2023_24_Q1_Q2.pdf
Afterpay,2023,,,2011.0,,Partial(1/4),Afterpay_2023_Annual.pdf
Afterpay,2024,,,2011.0,,Partial(1/4),Afterpay_2024_Annual.pdf
Airstarbank,2019,1523878862.0,101915382.0,,-83221658.0,Partial(3/4),Airstarbank_2019_Annual.pdf
Airstarbank,2020,2880469.0,1677433.0,,,Partial(2/4),Airstarbank_2020_Annual.pdf
Airstarbank,2020,1836307098.0,497993666.0,,-91707674.0,Partial(3/4),Airstarbank_2020_Q1_Q2.pdf
Airstarbank,2020,1836307098.0,497993666.0,,-91707674.0,Partial(3/4),Airstarbank_2020_Q1、Q2.pdf
Airstarbank,2021,3227586.0,2266139.0,,-244255.0,Partial(3/4),Airstarbank_2021_Annual.pdf
Airstarbank,2021,3464490.0,2390450.0,,-123375.0,Partial(3/4),Airstarbank_2021_Q1_Q2.pdf
Airstarbank,2021,3464490.0,2390450.0,,-123375.0,Partial(3/4),Airstarbank_2021_Q1、Q2.pdf
Airstarbank,2022,2857826.0,1996911.0,,-97755.0,Partial(3/4),Airstarbank_2022_Q1_Q2.pdf
Airstarbank,2022,2857826.0,1996911.0,,-97755.0,Partial(3/4),Airstarbank_2022_Q1、Q2.pdf
Airstarbank,2023,2325593.0,1768056.0,,-208263.0,Partial(3/4),Airstarbank_2023_Annual.pdf
Airstarbank,2024,2707842.0,1836897.0,,-131230.0,Partial(3/4),Airstarbank_2024_Q1_Q2.pdf
Airstarbank,2024,2707842.0,1836897.0,,-131230.0,Partial(3/4),Airstarbank_2024_Q1、Q2.pdf
Aprila,2018,133500.0,5999.0,,0.0,Partial(3/4),Aprila_Bank_2018_Annual.pdf
Aprila,2018,144269.0,2715.0,,,Partial(2/4),Aprila_Bank_2018_Q2.pdf
Aprila,2018,138591.0,4174.0,,,Partial(2/4),Aprila_Bank_2018_Q3.pdf
Aprila,2018,133.0,5.0,,,Partial(2/4),Aprila_Bank_2018_Q4.pdf
Aprila,2019,127454.0,9781.0,,,Partial(2/4),Aprila_Bank_2019_Q1.pdf
Aprila,2019,118429.0,6761.0,,,Partial(2/4),Aprila_Bank_2019_Q2.pdf
Aprila,2019,143287.0,40134.0,,,Partial(2/4),Aprila_Bank_2019_Q3.pdf
